"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","App Signup","1","0","","0"
"0","","0","App Signin","2","0","","0"
"0","","0","Basket operations","1","0","","0"
