"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4265","Add items to basket","desktop","Sat Mar 01 12:00:33 GMT 2025","passed","Sat Mar 01 12:00:37 GMT 2025","","gallery/gallery.desktop.spec.ts","",""
"","4068","User registration","desktop","Sat Mar 01 12:00:33 GMT 2025","passed","Sat Mar 01 12:00:37 GMT 2025","","auth/signup.desktop.spec.ts","",""
"","4095","User registration","mobile","Sat Mar 01 12:00:33 GMT 2025","passed","Sat Mar 01 12:00:37 GMT 2025","","auth/signup.mobile.spec.ts","",""
"","5788","User login","desktop","Sat Mar 01 12:00:33 GMT 2025","passed","Sat Mar 01 12:00:39 GMT 2025","","auth/signin.desktop.spec.ts","",""
